name,mouse_id,sex,age,fi
LL1-B2B__2020-06-26_SPD__AgedB6-1247,AgedB6-1247,-1,99.0,5.5
LL1-B2B__2020-06-26_SPD__AgedB6-1249,AgedB6-1249,-1,99.0,5.0
LL1-B2B__2020-06-26_SPD__AgedB6-1251,AgedB6-1251,-1,99.0,5.0
LL2-B2B__2020-06-26_SPD__AgedB6-1266,AgedB6-1266,1,14.0,1.5
LL2-B2B__2020-06-26_SPD__AgedB6-1267,AgedB6-1267,1,14.0,1.5
LL3-B2B__2020-06-26_SPD__AgedB6-1269,AgedB6-1269,1,14.0,1.5
LL3-B2B__2020-06-26_SPD__AgedB6-1270,AgedB6-1270,1,14.0,1.5
LL3-B2B__2020-06-26_SPD__AgedB6-1275,AgedB6-1275,1,13.0,1.5
LL4-B2B__2020-06-26_SPD__AgedB6-1276,AgedB6-1276,1,13.0,1.0
LL4-B2B__2020-06-26_SPD__AgedB6-1278,AgedB6-1278,1,13.0,1.5
LL4-B2B__2020-06-26_SPD__AgedB6-1261,AgedB6-1261,-1,15.0,1.5
LL4-B2B__2020-06-26_SPD__AgedB6-1262,AgedB6-1262,-1,15.0,1.5
LL5-B2B__2020-06-26_SPD__AgedB6-1264,AgedB6-1264,-1,15.0,1.0
LL5-B2B__2020-06-26_SPD__AgedB6-1265,AgedB6-1265,-1,14.0,1.0
LL5-B2B__2020-06-26_SPD__AgedB6-1272,AgedB6-1272,-1,14.0,1.5
LL6-B2B__2020-06-26_SPD__AgedB6-1273,AgedB6-1273,-1,14.0,1.0
LL6-B2B__2020-06-26_SPD__AgedB6-1274,AgedB6-1274,-1,14.0,1.0
LL6-B2B__2020-06-26_SPD__AgedB6-1277,AgedB6-1277,-1,13.0,1.0
LL1-B2B__2020-07-06_SPD__AgedB6-0447,AgedB6-0447,-1,110.0,7.0
LL1-B2B__2020-07-06_SPD__AgedB6-0449,AgedB6-0449,-1,110.0,6.0
LL1-B2B__2020-07-06_SPD__AgedB6-0451,AgedB6-0451,-1,110.0,6.0
